trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-134.84156673925528,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-76.22766957608384,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-122.65806269699556,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-109.71823390051945,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-172.05335115125135,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-97.99353643695711,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,12,-10.262274398178766,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,12,-2.9224011304064126,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-85.77092246696843,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-58.155735597774054,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-59.2464030064693,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-119.27725319994215,"{0: 23, 1: 0, 2: 3, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,21,-4.547307941895794,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-11.65569606687705,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-44.55529636691848,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,6,-78.09820011865393,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 2}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,1,12.82390692729223,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-12.828875921956726,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,14,-43.8963985916918,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",35,12,15.701233839712227,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",30,0,-64.80454063944384,"{0: 24, 1: 0, 2: 4, 3: 1, 4: 1}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,2,-71.23458457603171,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 2}",1
3,True,"{'a': 0.0, 'e': 0.0}",25,7,-12.201560641983345,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
4,True,"{'a': 0.0, 'e': 0.0}",35,1,-66.5854463537122,"{0: 28, 1: 0, 2: 4, 3: 1, 4: 1}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,12,14.529248615759137,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,4,-56.74308024638228,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 2}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-73.88796310822572,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",0
8,True,"{'a': 0.0, 'e': 0.0}",25,14,-35.2073868143775,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
9,True,"{'a': 0.0, 'e': 0.0}",25,10,-9.338050945492546,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",30,19,20.434381248256212,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
