trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9999987675502532}",30,0,-145.05934179108505,"{0: 16, 1: 1, 2: 12, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9999950702040505}",30,0,-39.33912781465155,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9999889079705055}",30,0,-193.97727145876095,"{0: 15, 1: 6, 2: 6, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.9999802808648077}",25,0,-192.82309525680023,"{0: 13, 1: 1, 2: 8, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.9999691889082218}",20,2,-67.10021275116425,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.9999556321280886}",25,0,-121.27333134207873,"{0: 12, 1: 4, 2: 7, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9999396105578239}",20,0,-53.351666959036095,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9999211242369195}",20,0,-74.3150882176531,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9999001732109422}",30,0,-125.21172484084727,"{0: 18, 1: 3, 2: 7, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9998767575315342}",25,0,-183.79859583893509,"{0: 16, 1: 2, 2: 3, 3: 0, 4: 4}",0
11,False,"{'a': 0.5, 'e': 0.9998508772564129}",20,0,-59.76996148005509,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.9998225324493704}",20,2,-76.59396956788481,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.9997917231802739}",20,0,-125.40750946433828,"{0: 8, 1: 3, 2: 8, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9997584495250651}",25,0,-94.54457401322034,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.9997227115657603}",25,0,-149.84524246871177,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.99968450939045}",20,0,-55.66231274014811,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.9996438430932985}",25,0,-199.29469983248723,"{0: 12, 1: 2, 2: 8, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.9996007127745443}",30,0,-84.8204979245512,"{0: 22, 1: 0, 2: 5, 3: 3, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.9995551185404994}",20,0,-150.75302518626265,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': 0.9995070605035489}",25,0,-224.98858706681162,"{0: 13, 1: 0, 2: 8, 3: 0, 4: 4}",0
21,False,"{'a': 0.5, 'e': 0.999456538782151}",30,0,-224.70646287626954,"{0: 15, 1: 2, 2: 9, 3: 1, 4: 3}",0
22,False,"{'a': 0.5, 'e': 0.9994035535008366}",25,0,-63.42297128072845,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.9993481047902093}",25,0,-90.54358659332611,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.9992901927869444}",35,0,-193.83213045421195,"{0: 22, 1: 0, 2: 10, 3: 0, 4: 3}",0
25,False,"{'a': 0.5, 'e': 0.9992298176337894}",20,0,-101.51727301108784,"{0: 13, 1: 4, 2: 0, 3: 1, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.9991669794795627}",20,0,-107.7542501425879,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.9991016784791542}",20,0,-67.82953004862165,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.9990339147935242}",25,0,-77.03128810569412,"{0: 16, 1: 3, 2: 4, 3: 2, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.9989636885897035}",20,0,-114.19058743223997,"{0: 11, 1: 5, 2: 2, 3: 0, 4: 2}",0
30,False,"{'a': 0.5, 'e': 0.9988910000407927}",20,0,-41.237543884517855,"{0: 13, 1: 5, 2: 1, 3: 1, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.9988158493259616}",20,11,-9.694723792655044,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.998738236630449}",25,0,-105.45074445658548,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.9986581621455628}",20,0,-44.31196953668071,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.9985756260686783}",25,0,-89.1114699240407,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.9984906286032388}",20,0,-47.8682047778223,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.9984031699587543}",20,12,-39.19412932841589,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
37,False,"{'a': 0.5, 'e': 0.9983132503508017}",20,13,3.3314245239764526,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.9982208700010238}",20,7,-80.10522024879627,"{0: 5, 1: 0, 2: 7, 3: 1, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.9981260291371287}",20,0,-145.2624285298266,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
40,False,"{'a': 0.5, 'e': 0.9980287279928899}",30,0,-145.81429487091833,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
41,False,"{'a': 0.5, 'e': 0.9979289668081447}",20,0,-68.93813171293459,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
42,False,"{'a': 0.5, 'e': 0.9978267458287945}",20,0,-25.402467817893672,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.9977220653068037}",20,0,-43.644919264999174,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.9976149255001993}",25,0,-175.72000292607993,"{0: 12, 1: 3, 2: 5, 3: 4, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.9975053266730701}",20,0,-106.49319672298637,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.9973932690955664}",30,0,-222.42568222037448,"{0: 15, 1: 2, 2: 9, 3: 1, 4: 3}",0
47,False,"{'a': 0.5, 'e': 0.9972787530438985}",35,3,-187.32118460165805,"{0: 17, 1: 3, 2: 7, 3: 4, 4: 1}",1
48,False,"{'a': 0.5, 'e': 0.9971617788003372}",20,0,-114.80817122403441,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.9970423466532122}",20,5,-41.61724408161527,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
50,False,"{'a': 0.5, 'e': 0.9969204568969118}",30,0,-268.940925699288,"{0: 14, 1: 3, 2: 7, 3: 2, 4: 4}",0
51,False,"{'a': 0.5, 'e': 0.9967961098318819}",20,0,-150.49382238290906,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
52,False,"{'a': 0.5, 'e': 0.9966693057646256}",20,0,-84.76357842321985,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.9965400450077021}",20,16,9.322782604265305,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.9964083278797263}",20,0,-230.21650225445293,"{0: 8, 1: 2, 2: 5, 3: 1, 4: 4}",0
55,False,"{'a': 0.5, 'e': 0.9962741547053676}",25,14,-45.22671639335008,"{0: 6, 1: 1, 2: 3, 3: 1, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.9961375258153493}",20,0,-41.71265805016579,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.995998441546448}",20,0,-194.78524000087572,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 4}",0
58,False,"{'a': 0.5, 'e': 0.9958569022414925}",30,0,-46.27242945909641,"{0: 24, 1: 3, 2: 2, 3: 0, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.9957129082493628}",20,0,-73.35231058603736,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.9955664599249897}",20,0,-80.82249537510174,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.9954175576293536}",20,0,-103.18418833497554,"{0: 11, 1: 0, 2: 6, 3: 3, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.9952662017294838}",20,0,-78.65414213862056,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
63,False,"{'a': 0.5, 'e': 0.9951123925984571}",20,3,-48.2994178447614,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 1}",1
64,False,"{'a': 0.5, 'e': 0.9949561306153978}",20,0,-96.25002242596273,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
65,False,"{'a': 0.5, 'e': 0.9947974161654759}",20,0,-79.37054119334223,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.9946362496399065}",20,0,-92.57331630381489,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
67,False,"{'a': 0.5, 'e': 0.9944726314359491}",30,0,-185.18664040463742,"{0: 16, 1: 2, 2: 9, 3: 1, 4: 2}",0
68,False,"{'a': 0.5, 'e': 0.9943065619569059}",20,0,-73.4806757064234,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
