trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-183.83257401761688,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-125.98475851131934,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-159.30433315836137,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-123.51820402215834,"{0: 19, 1: 3, 2: 5, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-100.16446677804898,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-100.52524141495503,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-156.9385335922758,"{0: 17, 1: 4, 2: 7, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-101.25552464749755,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-112.17050348550185,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-41.833845771872575,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-343.18494694810136,"{0: 10, 1: 4, 2: 9, 3: 2, 4: 5}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-140.97355443818708,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-44.32253712609966,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-63.36214821417358,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-161.86828174533042,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-172.26806251420783,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-84.52908907361578,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-178.98467441876662,"{0: 14, 1: 1, 2: 7, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,-125.2900085615729,"{0: 18, 1: 4, 2: 6, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,13,-7.76803761792609,"{0: 4, 1: 3, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",35,0,-206.94773596909815,"{0: 17, 1: 5, 2: 8, 3: 4, 4: 1}",0
2,True,"{'a': 0.0, 'e': 0.0}",30,0,-265.8432310384767,"{0: 13, 1: 3, 2: 6, 3: 6, 4: 2}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-137.402371298948,"{0: 10, 1: 2, 2: 4, 3: 3, 4: 1}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-98.8078423379821,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,0,-79.28908623899487,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
6,True,"{'a': 0.0, 'e': 0.0}",25,0,-105.27840295206109,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-64.31888713107396,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
8,True,"{'a': 0.0, 'e': 0.0}",30,0,-169.70777372562446,"{0: 17, 1: 1, 2: 10, 3: 0, 4: 2}",0
9,True,"{'a': 0.0, 'e': 0.0}",25,0,-113.63055133119421,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,14,-4.480693422119592,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
